Time,X,Y,Z
3.62,0.012,-0.012,-0.002
3.625,0.009,-0.014,-0.001
3.63,0.003,-0.012,0.001
3.635,-0.001,-0.009,0.006
3.64,-0.001,-0.006,0.013
3.645,0.001,-0.003,0.02
3.65,0.001,0,0.023
3.655,0.001,0.002,0.021
3.66,0.004,-0.002,0.014
3.665,0.009,-0.011,0.006
3.67,0.014,-0.018,-0.001
3.675,0.013,-0.017,-0.003
3.68,0.005,-0.007,-0.001
3.685,-0.004,0.005,0.001
3.69,-0.009,0.01,0.003
3.695,-0.009,0.007,0.006
3.7,-0.005,0,0.01
3.705,-0.001,-0.006,0.014
3.71,0.003,-0.008,0.014
3.715,0.006,-0.009,0.011
3.72,0.007,-0.007,0.006
3.725,0.004,-0.004,-0.001
3.73,-0.001,0,-0.007
3.735,-0.005,0.003,-0.01
3.74,-0.003,0.001,-0.007
3.745,0.001,-0.004,-0.002
3.75,0.004,-0.009,0.002
3.755,0.003,-0.011,0.002
3.76,-0.001,-0.008,0.002
3.765,-0.005,-0.003,0.003
3.77,-0.007,0.004,0.007
3.775,-0.005,0.008,0.009
3.78,-0.002,0.01,0.006
3.785,0.002,0.007,0
3.79,0.005,0,-0.003
3.795,0.005,-0.007,-0.002
3.8,0.003,-0.01,0.002
3.805,0.001,-0.007,0.003
3.81,0,-0.001,0.003
3.815,0.001,0.003,0.003
3.82,0.001,0.001,0.005
3.825,0.002,-0.007,0.007
3.83,0.001,-0.016,0.007
3.835,0.001,-0.019,0.001
3.84,0.001,-0.016,-0.008
3.845,0.002,-0.009,-0.016
3.85,0.002,-0.005,-0.018
3.855,0.001,-0.005,-0.011
3.86,0.001,-0.007,-0.001
3.865,0.002,-0.007,0.005
3.87,0.004,-0.005,0.005
3.875,0.007,-0.004,0.001
3.88,0.008,-0.006,0
3.885,0.004,-0.01,0
3.89,-0.003,-0.011,-0.002
3.895,-0.007,-0.008,-0.008
3.9,-0.007,-0.004,-0.012
3.905,-0.003,-0.002,-0.011
